year,state,state_po,state_fips,state_ic,office,candidate,party_detailed,party_simplified,writein,mode,votes,totalvotes,stage,special,unofficial,version
2024,ARIZONA,AZ,04,61,US SENATE,RUBEN GALLEGO,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,1676335,3347964,GEN,FALSE,TRUE,11/20/25
2024,ARIZONA,AZ,04,61,US SENATE,KARI LAKE,DEMOCRAT,DEMOCRAT,FALSE,TOTAL,1595761,3347964,GEN,FALSE,TRUE,11/20/25
2024,ARIZONA,AZ,04,61,US SENATE,EDUARDO QUINTANA,GREEN,OTHER,FALSE,TOTAL,75868,3347964,GEN,FALSE,TRUE,11/20/25
2024,CALIFORNIA,CA,06,71,US SENATE,ADAM B. SCHIFF,DEMOCRAT,DEMOCRAT,FALSE,TOTAL,9036252,15348846,GEN,FALSE,FALSE,11/20/25
2024,CALIFORNIA,CA,06,71,US SENATE,STEVE GARVEY,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,6312594,15348846,GEN,FALSE,FALSE,11/20/25
2024,CONNECTICUT,CT,09,01,US SENATE,CHRISTOPHER S. MURPHY,DEMOCRATIC,DEMOCRAT,FALSE,TOTAL,953646,1708259,GEN,FALSE,FALSE,11/20/25
2024,CONNECTICUT,CT,09,01,US SENATE,CHRISTOPHER S. MURPHY,WORKING FAMILIES,OTHER,FALSE,TOTAL,47049,1708259,GEN,FALSE,FALSE,11/20/25
2024,CONNECTICUT,CT,09,01,US SENATE,MATTHEW M. COREY,REPUBLICAN,REPUBLICAN,FALSE,TOTAL,678256,1708259,GEN,FALSE,FALSE,11/20/25
2024,CONNECTICUT,CT,09,01,US SENATE,ROBERT FINLEY HYDE,CHEAPER GAS GROCERIES,OTHER,FALSE,TOTAL,14879,1708259,GEN,FALSE,FALSE,11/20/25
2024,CONNECTICUT,CT,09,01,US SENATE,JUSTIN C. PAGLINO,GREEN,OTHER,FALSE,TOTAL,14422,1708259,GEN,FALSE,FALSE,11/20/25
